trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.7816331707050701}",20,0,-109.21792205513125,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.7792882711929549}",20,0,-39.67960870536081,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.776950406379376}",20,15,0.1156940866342937,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.7746195551602378}",25,0,17.595122343878117,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.7722956964947572}",20,0,-94.42586729625438,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.7699788094052729}",35,0,-330.77507238364296,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 6}",0
88,False,"{'a': 0.5, 'e': 0.767668872977057}",25,0,-132.71546917087758,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.7653658663581259}",25,0,-52.209236573755824,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.7630697687590515}",30,0,-162.9080402273876,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.7607805594527743}",30,0,-139.43726628748655,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.7584982177744161}",20,12,-13.360349499031036,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.7562227231210928}",25,10,-83.26924490845091,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.7539540549517295}",20,0,-122.34743739815832,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.7516921927868743}",25,18,-30.769379079375923,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.7494371162085136}",20,0,-69.6118280564579,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.747188804859888}",20,0,-91.74547717455835,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.7449472384453084}",20,0,-39.44811788599572,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.7427123967299725}",30,0,-97.13372149928786,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.7404842595397826}",20,0,-67.00677347164843,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.7382628067611632}",30,0,-109.85565010589606,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.7360480183408797}",25,0,-50.537934026032914,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.7338398742858571}",25,7,-53.14838199622155,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.7316383546629995}",25,0,-77.05277719507183,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.7294434395990105}",20,0,-93.98325709420273,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.7272551092802134}",20,0,-40.405089739033755,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.7250733439523728}",30,0,-90.45825651249322,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.7228981239205157}",25,0,-4.777338269887595,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.7207294295487541}",20,6,-8.384982328470379,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.7185672412601078}",20,0,-94.04454254682565,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.7164115395363275}",25,2,-60.61120531102084,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.7142623049177186}",25,0,-40.82928579254663,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.7121195180029655}",20,0,-124.39331209775496,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.7099831594489566}",25,3,-29.644941106818216,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.7078532099706097}",30,0,-112.28549742231264,"{0: 22, 1: 3, 2: 1, 3: 2, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.7057296503406979}",20,0,-131.14941583839442,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.7036124613896758}",35,17,-17.91334865686592,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.7015016240055068}",20,3,-35.482782451443924,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.6993971191334902}",30,3,-23.379856627745976,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.6972989277760897}",25,0,-113.28041277844251,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.6952070309927615}",20,0,-4.937281798613978,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.6931214098997832}",20,0,-108.77294972408252,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.6910420456700839}",20,11,-5.8424980264023505,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.6889689195330736}",20,0,-138.6069848106311,"{0: 8, 1: 6, 2: 2, 3: 3, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.6869020127744744}",25,0,-68.16775733534885,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.684841306736151}",25,0,-22.77030701547447,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.6827867828159425}",25,9,-66.89056217242137,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
128,False,"{'a': 0.5, 'e': 0.6807384224674947}",20,2,-100.33325227004596,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 2}",1
129,False,"{'a': 0.5, 'e': 0.6786962072000923}",30,9,9.894590614268253,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.676660118578492}",25,0,-117.0409896606386,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.6746301382227565}",20,0,-132.84515507310886,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.6726062478080883}",25,0,-44.83023961426941,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.6705884290646641}",20,16,7.69220339709746,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.66857666377747}",30,12,-16.045288176880455,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.6665709337861376}",25,9,1.3719821916985575,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.6645712209847792}",20,11,-0.927234836997699,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.6625775073218249}",20,14,7.909241695530051,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.6605897747998594}",20,0,-98.93391962706613,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.6586080054754598}",25,16,2.1161205757389876,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.6566321814590335}",20,13,-10.29752213927323,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.6546622849146564}",20,15,-1.8731431979985216,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.6526982980599124}",25,0,-94.25573151683922,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.6507402031657327}",20,10,-9.009964205387442,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.6487879825562355}",25,11,-2.86586114962423,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.6468416186085668}",20,9,-7.593970216824414,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.6449010937527411}",35,0,-74.19909124554962,"{0: 27, 1: 3, 2: 3, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.6429663904714829}",20,0,-52.51673737247227,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.6410374913000684}",20,0,-3.9026055396734534,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.6391143788261682}",20,2,-58.00075481896081,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.6371970356896897}",20,0,-130.28153931964064,"{0: 12, 1: 1, 2: 2, 3: 4, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.6352854445826206}",20,0,-32.03639490743045,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.6333795882488727}",25,4,-7.300777893320602,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.6314794494841262}",20,0,-156.65629070815325,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
154,False,"{'a': 0.5, 'e': 0.6295850111356738}",30,18,-49.92995202100672,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.6276962561022668}",25,0,-13.336257663889292,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.62581316733396}",20,0,-66.49239148855288,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.623935727831958}",30,0,-89.92402178258993,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
